rid,complete,start,end,duration,uniq,qra,qcheck,q1t,q1a,q1t2,q1b,q2t,q2a,q2t2,q2b,q3t,q3a,q3t2,q3b,q4t,q4a,q4t2,q4b,q5t,q5a,q5t2,q5b,q6t,q6a,q6t2,q6b,q7t,q7a,q7t2,q7b,q8t,q8a,q8t2,q8b,q9t,q9a,q9t2,q9b,q10t,q10a,q10t2,q10b,q11t,q11a,q11t2,q11b,q12t,q12a,q12t2,q12b,q13t,q13a,a13t2,q13b,q14t,q14a,q14t2,q14b,q15t,q15a,q15t2,q15b,q16t,q16a,q16t2,q16b,q17t,q17a,q17t2,q17b,q18t,q18a,q18t2,q18b
118,COMPLETED,10/7/2009 9:00,10/7/2009 9:01,39,1r670613,4,5,,,,,,,,,,,,,1254931281,2,5,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,COMPLETED,10/7/2009 9:08,10/7/2009 9:10,136,1r379481,1,5,1254931750,2,86,"I'm an all or nothing person, and believe it is better to try to save everyone than write off a vast majority outright.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,COMPLETED,10/7/2009 9:13,10/7/2009 9:14,56,1r939913,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254932032,1,16,ARE YOU KIDDING ME??? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,COMPLETED,10/7/2009 9:14,10/7/2009 9:15,25,1r310568,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254932107,1,11,it does matter me,,,,,,,,,,,,
122,COMPLETED,10/7/2009 9:16,10/7/2009 9:17,68,1r304095,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254932224,1,30,I believe that the odds are better on the A program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,COMPLETED,10/7/2009 9:17,10/7/2009 9:18,88,1r770268,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254932298,2,34,I am more comfortable with a sure number of people saved than a prpbable number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,COMPLETED,10/7/2009 9:17,10/7/2009 9:36,1118,1r878018,1,5,1254932363,1,1019,"Let us consider the ""swine"" flu pandemic which is all the rage for the moment. WHO apparently started it to see how quickly it would travel the world. This set in motion a panic response by FDA and big pharma to get inocculations approved and then forced upon the public. The little we do know about these vaccines is that they have preservatives of mercury, aluminum and ?. We do not know what hazards they contain or what side effects they may induce (death?). In the last swine flu panic of the 1970's the cure killed more than the disease. There has never been a 100% cure rate, so by washing ones hands as the only preventitive with a 1/3 noncontract rate, that would be my choice.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,COMPLETED,10/7/2009 9:22,10/7/2009 9:25,190,1r918437,4,5,,,,,,,,,,,,,1254932657,2,82,"There is a fair enough possibility that no one will die, so it would be better to try this option first.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,COMPLETED,10/7/2009 9:24,10/7/2009 9:25,81,1r981042,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254932712,1,22,reward is worth the risk,,,,
127,COMPLETED,10/7/2009 9:29,10/12/2009 20:42,472372,1r336196,1,5,1254933072,2,472287,no reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,COMPLETED,10/7/2009 9:30,10/7/2009 9:31,59,1r314480,1,5,1254933077,2,19,I would rather take the option that allows us to save more people. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,COMPLETED,10/7/2009 9:32,10/7/2009 9:34,132,1r380196,2,5,,,,,1254933191,2,72,A says 400 WILL die.  B says 400 probably will die.  I'll take the bet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,COMPLETED,10/7/2009 9:36,10/7/2009 9:39,179,1r939938,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254933517,2,71,B you are sure that 200 peole will be saved. A= thereis a 66 percent chance that no one will be saved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,COMPLETED,10/7/2009 9:40,10/7/2009 9:40,43,1r979051,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254933647,2,6,Less death
133,COMPLETED,10/7/2009 9:40,10/7/2009 9:40,43,1r246265,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254933640,1,18,don't know,,,,
134,COMPLETED,10/7/2009 9:41,10/7/2009 9:42,61,1r879037,3,5,,,,,,,,,1254933741,2,34,EV = .3333 * 600 + .6666 * 0  = 200.  That's one more person than 199.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,COMPLETED,10/7/2009 9:42,10/7/2009 9:44,114,1r570985,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254933848,1,28,Less people would die although each is a 1/3 probablility of survival. ,,,,,,,,,,,,,,,,,,,,,,,,
136,COMPLETED,10/7/2009 9:45,10/7/2009 9:47,167,1r442397,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254933978,1,91,They are both saying the same thing but... I do not think people today can compute math in fractions so the first answer is a little more understandable.,,,,,,,,,,,,,,,,
137,COMPLETED,10/7/2009 9:49,10/7/2009 9:51,73,1r25349,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254934244,2,27,I would rather take the chance that no one would die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,COMPLETED,10/7/2009 9:52,10/7/2009 9:54,101,1r605138,5,5,,,,,,,,,,,,,,,,,1254934422,1,26,201 is more than 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,COMPLETED,10/7/2009 10:04,10/10/2009 22:40,304563,1r857228,3,3,,,,,,,,,1255239615,1,5,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,COMPLETED,10/7/2009 10:06,10/7/2009 10:07,53,1r578468,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254935234,2,17,400 is less than 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,COMPLETED,10/7/2009 10:10,10/7/2009 10:11,64,1r991729,1,5,1254935494,1,21,guaranteed that some will survive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,COMPLETED,10/7/2009 10:17,10/7/2009 10:19,109,1r461015,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254935940,1,37,,,,,,,,,,,,,,,,,,,,,,,,,
148,COMPLETED,10/7/2009 10:29,10/7/2009 10:30,65,1r318369,4,3,,,,,,,,,,,,,1254936607,2,24,"Plan B is a ""probability"" answer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,COMPLETED,10/7/2009 10:30,10/7/2009 10:31,93,1r378289,5,5,,,,,,,,,,,,,,,,,1254936689,1,22,there is a guarantee that at least SOME people will be saved.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,COMPLETED,10/7/2009 10:34,10/7/2009 10:35,99,1r325699,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254936913,2,36,I would take the chance that everyone could be saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,COMPLETED,10/7/2009 10:34,10/7/2009 10:35,62,1r459681,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254936913,2,24,Better to try and save everyone than the select few.,,,,,,,,,,,,
152,COMPLETED,10/7/2009 10:35,10/7/2009 10:38,177,1r991601,13,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937014,1,88,I have to take into account that I CAN save 200 people.  Saving 200 people is better then saving none.  I have to take the route that I know will save some people.  The other way is all or nothing.  I can't gamble and lose everyone.  You have to save what you know you can save.,,,,,,,,,,,,,,,,,,,,
153,COMPLETED,10/7/2009 10:36,10/7/2009 10:38,168,1r302055,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937009,2,119,The fact that there is a 1/3 probability that no one will die seems to be a better choice compared to Program A where  only 200 people would survive and 400 would still die.,,,,,,,,,,,,,,,,
154,COMPLETED,10/7/2009 10:38,10/7/2009 10:39,81,1r403914,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1254937143,1,26,At least A there will be a specific number of people saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,COMPLETED,10/7/2009 10:43,10/7/2009 10:44,63,1r492096,18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937445,1,20,It is the most likely to save more people
156,COMPLETED,10/7/2009 10:45,10/7/2009 10:47,92,1r831737,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937619,1,15,Prefer the chances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,COMPLETED,10/7/2009 10:46,10/7/2009 10:48,117,1r521459,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937665,1,40,i really didn't like either choise,,,,,,,,,,,,,,,,
158,COMPLETED,10/7/2009 10:51,10/7/2009 10:52,48,1r489028,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254937912,2,19,saving lives is very important,,,,
159,COMPLETED,10/7/2009 10:51,10/7/2009 10:52,60,1r527215,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1254937945,2,30,The chance for saving more people is greater in b    There is a risk but I think one that is worth taking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,COMPLETED,10/7/2009 10:53,10/7/2009 10:55,161,1r937354,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254938074,1,70,At least some people will be saved.  The other choice has a high possibility that no people will be saved.,,,,,,,,,,,,,,,,,,,,
161,COMPLETED,10/7/2009 10:56,10/7/2009 10:57,80,1r684489,1,5,1254938234,2,16,best rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,COMPLETED,10/7/2009 11:05,10/7/2009 11:06,50,1r912353,5,5,,,,,,,,,,,,,,,,,1254938754,1,10,better odds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,COMPLETED,10/7/2009 11:05,10/7/2009 11:08,132,1r558518,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254938780,1,102,"I selected A just 'because' . No reason..I never believe  doctors nor scientists no matter what they say. They  take $$$$$ and do fake studies, poison animals and  get $$$$$ from companies to put in goofy data ...Nothing  they say will ever make me do anything. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,COMPLETED,10/7/2009 11:09,10/7/2009 11:13,215,1r457801,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254939034,2,147,answer A we know that 400 people will definitely die. In answer B we know that 400 people will probably die but obviously there is a chance that less than 400 people will die.  ,,,,,,,,
167,COMPLETED,10/7/2009 11:11,10/7/2009 11:13,98,1r937012,7,5,,,,,,,,,,,,,,,,,,,,,,,,,1254939133,2,49,THE ODDS ARE MORE FAVORABLE FOR THE GREATEST NUMBER OF SURVIVORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,COMPLETED,10/7/2009 11:21,10/7/2009 11:22,91,1r646773,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1254939734,2,25,More people will be saved using plan B,,,,,,,,,,,,,,,,,,,,
